"Pass Attempts Leaders","Marcus Mariota ","WAS","34"
"Pass Attempts Leaders","Ty Simpson ","LAR","34"
"Pass Attempts Leaders","J.J. McCarthy ","MIN","28"
"Pass Attempts Leaders","Riley Leonard ","IND","27"
"Pass Attempts Leaders","Davis Mills ","HOU","26"
"Pass Attempts Leaders","Jameis Winston ","NYG","26"
"Pass Attempts Leaders","Justin Fields ","KC","26"
"Pass Attempts Leaders","Joe Flacco ","CIN","25"
"Pass Attempts Leaders","Gardner Minshew II ","ARI","23"
"Pass Attempts Leaders","Drew Allar ","PIT","23"
"Pass Attempts Leaders","Spencer Rattler ","NO","23"
"Pass Attempts Leaders","Kenny Pickett ","CAR","23"
"Pass Attempts Leaders","Quinn Ewers ","JAC","23"
"Pass Attempts Leaders","Jarrett Stidham ","DEN","23"
"Pass Attempts Leaders","Tyson Bagent ","CHI","23"
"Pass Attempts Leaders","Mitchell Trubisky ","TEN","22"
"Pass Attempts Leaders","Sam Howell ","DAL","22"
"Pass Attempts Leaders","Trey Lance ","LAC","22"
"Pass Attempts Leaders","Mac Jones ","SF","22"
"Pass Attempts Leaders","Joshua Dobbs ","DET","22"
"Pass Attempts Leaders","Kyle Allen ","BUF","21"
"Pass Attempts Leaders","Cade Klubnik ","NYJ","21"
"Pass Attempts Leaders","Drew Lock ","SEA","21"
"Pass Attempts Leaders","Tommy DeVito ","NE","21"
""
"","Player","Team","Pass Yards"
"Pass Yards Leaders","Jared Goff ","DET","4309"
"Pass Yards Leaders","Dak Prescott ","DAL","4275"
"Pass Yards Leaders","Matthew Stafford ","LAR","4191"
"Pass Yards Leaders","Joe Burrow ","CIN","4175"
"Pass Yards Leaders","Brock Purdy ","SF","4154"
"Pass Yards Leaders","Sam Darnold ","SEA","4087"
"Pass Yards Leaders","Drake Maye ","NE","3999"
"Pass Yards Leaders","Tyler Shough ","NO","3946"
"Pass Yards Leaders","Jordan Love ","GB","3917"
"Pass Yards Leaders","Trevor Lawrence ","JAC","3912"
"Pass Yards Leaders","C.J. Stroud ","HOU","3876"
"Pass Yards Leaders","Caleb Williams ","CHI","3872"
"Pass Yards Leaders","Justin Herbert ","LAC","3854"
"Pass Yards Leaders","Baker Mayfield ","TB","3840"
"Pass Yards Leaders","Patrick Mahomes II ","KC","3837"
"Pass Yards Leaders","Josh Allen ","BUF","3813"
"Pass Yards Leaders","Daniel Jones ","IND","3759"
"Pass Yards Leaders","Bo Nix ","DEN","3744"
"Pass Yards Leaders","Jayden Daniels ","WAS","3677"
"Pass Yards Leaders","Lamar Jackson ","BAL","3652"
"Pass Yards Leaders","Kyler Murray ","MIN","3645"
"Pass Yards Leaders","Jacoby Brissett ","ARI","3588"
"Pass Yards Leaders","Cam Ward ","TEN","3586"
"Pass Yards Leaders","Jaxson Dart ","NYG","3586"
