Salary Cap Values
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Chris Olave (WR - NO),8,$32,,,,Tyler Shough - NO,8,$1,,,,Bucky Irving - TB,10,$23,,,,Tee Higgins - CIN,6,$18,,,,T.J. Hockenson - MIN,6,$1,,,,Nick Folk - ATL,11,$0,,,,Tennessee Titans,9,$0,,,,,,,,,,
Jeremiyah Love (RB - ARI),14,$31,,,,Sam Darnold - SEA,11,$0,,,,Quinshon Judkins - CLE,11,$22,,,,Ladd McConkey - LAC,7,$17,,,,Greg Dulcich - MIA,6,$1,,,,Andy Borregales - NE,11,$0,,,,Green Bay Packers,11,$0,,,,,,,,,,
Omarion Hampton (RB - LAC),7,$31,,,,Daniel Jones - IND,13,$0,,,,Bhayshul Tuten - JAC,7,$21,,,,Jameson Williams - DET,6,$17,,,,Pat Freiermuth - PIT,9,$0,,,,Jake Elliott - PHI,10,$0,,,,Indianapolis Colts,13,$0,,,,,,,,,,
Trey McBride (TE - ARI),14,$31,,,,Malik Willis - MIA,6,$0,,,,David Montgomery - HOU,8,$18,,,,Jaylen Waddle - DEN,10,$14,,,,Kenyon Sadiq - NYJ,13,$0,,,,Chris Boswell - PIT,9,$0,,,,Washington Commanders,7,$0,,,,,,,,,,
Breece Hall (RB - NYJ),13,$30,,,,C.J. Stroud - HOU,8,$0,,,,Jaylen Warren - PIT,9,$18,,,,Terry McLaurin - WAS,7,$14,,,,Cade Otton - TB,10,$0,,,,Drew Stevens - WAS,7,$0,,,,Kansas City Chiefs,5,$0,,,,,,,,,,
A.J. Brown (WR - NE),11,$30,,,,Bryce Young - CAR,5,$0,,,,Rhamondre Stevenson - NE,11,$17,,,,DJ Moore - BUF,7,$14,,,,Chig Okonkwo - WAS,7,$0,,,,Riley Patterson - MIA,6,$0,,,,Dallas Cowboys,14,$0,,,,,,,,,,
Josh Allen (QB - BUF),7,$28,,,,Cam Ward - TEN,9,$0,,,,TreVeyon Henderson - NE,11,$16,,,,Luther Burden III - CHI,10,$13,,,,AJ Barner - SEA,11,$0,,,,Joey Slye - TEN,9,$0,,,,New York Giants,8,$0,,,,,,,,,,
Javonte Williams (RB - DAL),14,$28,,,,Jacoby Brissett - ARI,14,$0,,,,Tony Pollard - TEN,9,$16,,,,Rome Odunze - CHI,10,$13,,,,Terrance Ferguson - LAR,11,$0,,,,Blake Grupe - NYJ,13,$0,,,,Miami Dolphins,6,$0,,,,,,,,,,
George Pickens (WR - DAL),14,$28,,,,Geno Smith - NYJ,13,$0,,,,Jadarian Price - SEA,11,$16,,,,Courtland Sutton - DEN,10,$10,,,,Evan Engram - DEN,10,$0,,,,Chad Ryland - ARI,14,$0,,,,Las Vegas Raiders,13,$0,,,,,,,,,,
Nico Collins (WR - HOU),8,$28,,,,Aaron Rodgers - PIT,9,$0,,,,Rico Dowdle - PIT,9,$14,,,,Christian Watson - GB,11,$10,,,,Darren Waller - CAR,5,$0,,,,,,,,,,Arizona Cardinals,14,$0,,,,,,,,,,
Travis Etienne Jr. (RB - NO),8,$27,,,,Fernando Mendoza - LV,13,$0,,,,Chuba Hubbard - CAR,5,$13,,,,Marvin Harrison Jr. - ARI,14,$10,,,,Gunnar Helm - TEN,9,$0,,,,,,,,,,San Francisco 49ers,8,$0,,,,,,,,,,
Kyren Williams (RB - LAR),11,$27,,,,Tua Tagovailoa - ATL,11,$0,,,,J.K. Dobbins - DEN,10,$13,,,,Mike Evans - SF,8,$9,,,,Mike Gesicki - CIN,6,$0,,,,,,,,,,Carolina Panthers,5,$0,,,,,,,,,,
Cam Skattebo (RB - NYG),8,$27,,,,Deshaun Watson - CLE,11,$0,,,,Kenny Gainwell - TB,10,$13,,,,DK Metcalf - PIT,9,$9,,,,David Njoku - LAC,7,$0,,,,,,,,,,New York Jets,13,$0,,,,,,,,,,
Brock Bowers (TE - LV),13,$27,,,,Shedeur Sanders - CLE,11,$0,,,,Jonathon Brooks - CAR,5,$12,,,,Alec Pierce - IND,13,$9,,,,Mason Taylor - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,
